Bi: 70047, Pp: 101010101010101, Tb: 11636007
Bi: 46271, Pp: 010101010101010, Tb: 11682293
Bi: 33318, Pp: 10101010101010101, Tb: 11715628
Bi: 11050, Pp: 1010101010101010101, Tb: 11726697
Bi: 16567, Pp: 010101010101010, Tb: 11743279
Bi: 16508, Pp: 01010101010101010101010, Tb: 11759810
Bi: 2483, Pp: 010101010101010, Tb: 11762308
Bi: 3047, Pp: 10101010101010101, Tb: 11765372
Bi: 63642, Pp: 010101010101010, Tb: 11829029
Bi: 71508, Pp: 101010101010101, Tb: 11900552
Bi: 3791, Pp: 01010101010101010, Tb: 11904360
Bi: 71068, Pp: 101010101010101, Tb: 11975443
Bi: 19827, Pp: 101010101010101, Tb: 11995285
Bi: 3681, Pp: 010101010101010, Tb: 11998981
Bi: 17006, Pp: 010101010101010, Tb: 12016002
Bi: 12690, Pp: 010101010101010, Tb: 12028707
Bi: 9476, Pp: 010101010101010, Tb: 12038198
Bi: 8113, Pp: 010101010101010, Tb: 12046326
Bi: 31733, Pp: 101010101010101, Tb: 12078074
Bi: 24914, Pp: 010101010101010, Tb: 12103003
Bi: 43104, Pp: 101010101010101, Tb: 12146122
Bi: 3632, Pp: 010101010101010, Tb: 12149769
Bi: 9313, Pp: 010101010101010, Tb: 12159097
Bi: 22739, Pp: 010101010101010, Tb: 12181851
Bi: 12833, Pp: 01010101010101010, Tb: 12194701
Bi: 17005, Pp: 101010101010101, Tb: 12211721
Bi: 26028, Pp: 010101010101010, Tb: 12237764
Bi: 8754, Pp: 101010101010101, Tb: 12246533
Bi: 70662, Pp: 101010101010101, Tb: 12317210
Bi: 81828, Pp: 101010101010101, Tb: 12399053
Bi: 15767, Pp: 010101010101010, Tb: 12414835
Bi: 13911, Pp: 101010101010101, Tb: 12428761
Bi: 1068, Pp: 01010101010101010, Tb: 12429846
Bi: 14323, Pp: 010101010101010, Tb: 12444184
Bi: 19515, Pp: 010101010101010, Tb: 12463714
Bi: 12189, Pp: 010101010101010, Tb: 12475918
Bi: 6720, Pp: 101010101010101, Tb: 12482653
Bi: 226623, Pp: 01010101010101010, Tb: 12709293
Bi: 8786, Pp: 010101010101010, Tb: 12718094
Bi: 117396, Pp: 010101010101010, Tb: 12835505
Bi: 10872, Pp: 010101010101010, Tb: 12846392
Bi: 530, Pp: 101010101010101, Tb: 12846937
Bi: 26327, Pp: 101010101010101, Tb: 12873279
Bi: 12330, Pp: 101010101010101, Tb: 12885624
Bi: 8243, Pp: 01010101010101010, Tb: 12893884
Bi: 3031, Pp: 101010101010101, Tb: 12896930
Bi: 30181, Pp: 10101010101010101, Tb: 12927128
Bi: 39292, Pp: 101010101010101, Tb: 12966435
Bi: 17664, Pp: 101010101010101, Tb: 12984114
Bi: 820, Pp: 010101010101010, Tb: 12984949
Bi: 26711, Pp: 101010101010101, Tb: 13011675
Bi: 69278, Pp: 10101010101010101, Tb: 13080970
Bi: 9551, Pp: 101010101010101, Tb: 13090536
Bi: 1312, Pp: 01010101010101010, Tb: 13091865
Bi: 29122, Pp: 010101010101010, Tb: 13121002
Bi: 134302, Pp: 010101010101010, Tb: 13255319
Bi: 92622, Pp: 010101010101010, Tb: 13347956
Bi: 11239, Pp: 01010101010101010, Tb: 13359212
Bi: 77636, Pp: 010101010101010, Tb: 13436863
Bi: 22998, Pp: 101010101010101, Tb: 13459876
Bi: 154639, Pp: 101010101010101, Tb: 13614530
Bi: 2423, Pp: 101010101010101, Tb: 13616968
Bi: 30376, Pp: 101010101010101, Tb: 13647359
Bi: 83760, Pp: 101010101010101, Tb: 13731134
Bi: 13235, Pp: 101010101010101, Tb: 13744384
Bi: 40705, Pp: 010101010101010, Tb: 13785104
Bi: 1423, Pp: 10101010101010101, Tb: 13786544
Bi: 25338, Pp: 10101010101010101, Tb: 13811899
Bi: 12516, Pp: 101010101010101, Tb: 13824430
Bi: 54792, Pp: 101010101010101, Tb: 13879237
Bi: 5299, Pp: 010101010101010, Tb: 13884551
Bi: 56436, Pp: 010101010101010, Tb: 13941002
Bi: 34187, Pp: 101010101010101, Tb: 13975204
Bi: 42050, Pp: 01010101010101010, Tb: 14017271
Bi: 18604, Pp: 101010101010101, Tb: 14035890
Bi: 62538, Pp: 101010101010101, Tb: 14098443
Bi: 13878, Pp: 010101010101010, Tb: 14112336
Bi: 95519, Pp: 101010101010101, Tb: 14207870
Bi: 39603, Pp: 010101010101010, Tb: 14247488
Bi: 14303, Pp: 010101010101010, Tb: 14261806
Bi: 10253, Pp: 010101010101010, Tb: 14272074
Bi: 31338, Pp: 10101010101010101, Tb: 14303429
Bi: 17527, Pp: 10101010101010101, Tb: 14320973
Bi: 46223, Pp: 101010101010101, Tb: 14367211
Bi: 4198, Pp: 01010101010101010, Tb: 14371426
Bi: 20395, Pp: 101010101010101, Tb: 14391836
Bi: 2951, Pp: 101010101010101010101, Tb: 14394808
Bi: 90124, Pp: 010101010101010, Tb: 14484947
Bi: 17101, Pp: 101010101010101, Tb: 14502063
Bi: 96364, Pp: 10101010101010101, Tb: 14598444
Bi: 2476, Pp: 010101010101010, Tb: 14600935
Bi: 2308, Pp: 010101010101010, Tb: 14603258
Bi: 15316, Pp: 010101010101010, Tb: 14618589
Bi: 1191, Pp: 010101010101010, Tb: 14619795
Bi: 120295, Pp: 101010101010101, Tb: 14740105
Bi: 737, Pp: 101010101010101, Tb: 14740857
Bi: 35729, Pp: 010101010101010, Tb: 14776601
Bi: 47661, Pp: 101010101010101, Tb: 14824277
Bi: 10973, Pp: 101010101010101, Tb: 14835265
Bi: 30016, Pp: 010101010101010, Tb: 14865296
Bi: 413, Pp: 101010101010101, Tb: 14865724
Bi: 4160, Pp: 010101010101010, Tb: 14869899
Bi: 2818, Pp: 0101010101010101010, Tb: 14872736
Bi: 5483, Pp: 01010101010101010, Tb: 14878236
Bi: 101, Pp: 010101010101010, Tb: 14878352
Bi: 534, Pp: 1010101010101010101, Tb: 14878905
Bi: 106627, Pp: 101010101010101, Tb: 14985547
Bi: 68127, Pp: 010101010101010, Tb: 15053689
Bi: 89370, Pp: 10101010101010101, Tb: 15143076
Bi: 19098, Pp: 010101010101010, Tb: 15162189
Bi: 12590, Pp: 101010101010101, Tb: 15174794
Bi: 44492, Pp: 01010101010101010, Tb: 15219303
Bi: 18758, Pp: 010101010101010, Tb: 15238076
Bi: 11314, Pp: 010101010101010, Tb: 15249405
Bi: 30663, Pp: 0101010101010101010, Tb: 15280087
Bi: 35965, Pp: 010101010101010, Tb: 15316067
Bi: 41272, Pp: 0101010101010101010, Tb: 15357358
Bi: 11294, Pp: 101010101010101, Tb: 15368667
Bi: 85833, Pp: 01010101010101010, Tb: 15454517
Bi: 30114, Pp: 010101010101010, Tb: 15484646
Bi: 20025, Pp: 10101010101010101, Tb: 15504688
Bi: 23459, Pp: 01010101010101010, Tb: 15528164
Bi: 28621, Pp: 010101010101010, Tb: 15556800
Bi: 13749, Pp: 010101010101010, Tb: 15570564
Bi: 24785, Pp: 01010101010101010, Tb: 15595366
Bi: 11596, Pp: 10101010101010101, Tb: 15606979
Bi: 82868, Pp: 0101010101010101010, Tb: 15689866
Bi: 60528, Pp: 10101010101010101, Tb: 15750411
Bi: 16671, Pp: 10101010101010101, Tb: 15767099
Bi: 1336, Pp: 10101010101010101, Tb: 15768452
Bi: 19218, Pp: 010101010101010, Tb: 15787685
Bi: 106040, Pp: 010101010101010, Tb: 15893740
Bi: 85809, Pp: 010101010101010, Tb: 15979564
Bi: 22088, Pp: 101010101010101, Tb: 16001667
Bi: 135045, Pp: 101010101010101, Tb: 16136727
Bi: 84838, Pp: 010101010101010, Tb: 16221580
Bi: 83611, Pp: 101010101010101, Tb: 16305206
Bi: 67564, Pp: 10101010101010101, Tb: 16372787
Bi: 16688, Pp: 101010101010101, Tb: 16389490
Bi: 151549, Pp: 010101010101010, Tb: 16541054
Bi: 2554, Pp: 101010101010101, Tb: 16543623
Bi: 87701, Pp: 010101010101010, Tb: 16631339
Bi: 107308, Pp: 010101010101010, Tb: 16738662
Bi: 44604, Pp: 101010101010101, Tb: 16783281
Bi: 29752, Pp: 01010101010101010, Tb: 16813050
Bi: 13173, Pp: 101010101010101, Tb: 16826238
Bi: 1797, Pp: 010101010101010, Tb: 16828050
Bi: 9076, Pp: 101010101010101, Tb: 16837141
